AIDS
alkhurma
anaplasmosis
anthrax
arenavirus
babesiosis
bordetella
pertussis
borreliosis
botulism
brucellosis
campylobacteriosis
chickenpox
varicella
chikungunya
chlamydia
cholera
ciguatera
clostridium
rubella
syphilis
coronavirus
covid
cowpox
coxsackievirus
cjd
cchf
cryptosporidiosis
cutaneous warts
dengue
dhf
diphtheria
ebola
echinococcosis
enteric
ehec
enterovirus
typhus
ecoli
flu
measles
rubella
giardiasis
gonorrhoea
haemophilus
haemorrhagic
haemorrhagic
hantavirus
hepatitis
hiv
hpv
haemophilus
meningococcal
pneumococcal
encephalitis
lassa
legionnaires’
leishmaniasis
leptospirosis
listeriosis
lyme
borreliosis
lymphogranuloma
malaria
meningococcal
mpox
monkeypox
mumps
nephropathia
nipah
norovirus
paratyphoid
pertussis
piroplasmosis
plague
pneumococcal
poliomyelitis
rabies
rickettsiosis
rotavirus
rubella
salmonellosis
sars-cov-2
schmallenberg
sbv
sars
shigellosis
sindbis
smallpox
streptococcus
syphilis
tetanus
encephalitis
tbe
tbrf
toscana
toxoplasmosis
trichinellosis
tuberculosis
b
tularaemia
typhoid
paratyphoid
vcjd
varicella
hepatitis
yersiniosis
zoonosis
